"Gene_ID" "Entrez_Gene_ID" "Gene_Symbol" "Protein_ID" "Product" "Chrom" "Start" "End" "length" "Strand" "Type" "Locus_Tag"
"2488" "Rv2428" 885717 "ahpC" "NP_216944.1" "alkyl hydroperoxide reductase subunit AhpC" "NC_000962.3" 2726193 2726780 587 "+" "protein_coding" "Rv2428"
"2489" "Rv2429" 885959 "ahpD" "NP_216945.1" "alkyl hydroperoxide reductase AphD" "NC_000962.3" 2726806 2727339 533 "+" "protein_coding" "Rv2429"
"2490" "Rv2430c" 885945 "PPE41" "YP_177881.1" "PPE family protein PPE41" "NC_000962.3" 2727336 2727920 584 "-" "protein_coding" "Rv2430c"
"2491" "Rv2431c" 885703 "PE25" "YP_177882.1" "PE family protein PE25" "NC_000962.3" 2727967 2728266 299 "-" "protein_coding" "Rv2431c"
"2492" "Rv2432c" 885075 "." "NP_216948.1" "hypothetical protein" "NC_000962.3" 2728437 2728847 410 "-" "protein_coding" "Rv2432c"
"2493" "Rv2433c" 885579 "." "NP_216949.1" "hypothetical protein" "NC_000962.3" 2728844 2729134 290 "-" "protein_coding" "Rv2433c"
"2494" "Rv2434c" 885885 "." "NP_216950.1" "transmembrane protein" "NC_000962.3" 2729115 2730560 1445 "-" "protein_coding" "Rv2434c"
"2495" "Rv2435c" 885891 "." "NP_216951.1" "cyclase" "NC_000962.3" 2730557 2732749 2192 "-" "protein_coding" "Rv2435c"
"2496" "Rv2436" 885671 "rbsK" "NP_216952.1" "ribokinase RbsK" "NC_000962.3" 2733230 2734144 914 "+" "protein_coding" "Rv2436"
"2497" "Rv2437" 885906 "." "NP_216953.1" "transmembrane protein" "NC_000962.3" 2734376 2734795 419 "+" "protein_coding" "Rv2437"
"2498" "Rv2438A" 3205071 "." "YP_177671.1" "hypothetical protein" "NC_000962.3" 2736709 2736987 278 "+" "protein_coding" "Rv2438A"
"2499" "Rv2438c" 885808 "nadE" "NP_216954.2" "glutamine-dependent NAD(+) synthetase" "NC_000962.3" 2734792 2736831 2039 "-" "protein_coding" "Rv2438c"
"2500" "Rv2439c" 885266 "proB" "NP_216955.1" "glutamate 5-kinase protein" "NC_000962.3" 2737117 2738247 1130 "-" "protein_coding" "Rv2439c"
"2501" "Rv2440c" 885900 "obg" "NP_216956.1" "GTPase Obg" "NC_000962.3" 2738247 2739686 1439 "-" "protein_coding" "Rv2440c"
"2502" "Rv2441c" 885919 "rpmA" "NP_216957.1" "50S ribosomal protein L27" "NC_000962.3" 2739772 2740032 260 "-" "protein_coding" "Rv2441c"
"2503" "Rv2442c" 885715 "rplU" "NP_216958.1" "50S ribosomal protein L21" "NC_000962.3" 2740047 2740361 314 "-" "protein_coding" "Rv2442c"
"2504" "Rv2443" 885745 "dctA" "NP_216959.1" "C4-dicarboxylate-transport transmembrane protein DctA" "NC_000962.3" 2740709 2742184 1475 "+" "protein_coding" "Rv2443"
"2505" "Rv2444c" 885911 "rne" "NP_216960.1" "ribonuclease E" "NC_000962.3" 2742123 2744984 2861 "-" "protein_coding" "Rv2444c"
"2506" "Rv2445c" 885905 "ndkA" "NP_216961.1" "nucleoside diphosphate kinase" "NC_000962.3" 2745314 2745724 410 "-" "protein_coding" "Rv2445c"
"2507" "Rv2446c" 885916 "." "NP_216962.1" "integral membrane protein" "NC_000962.3" 2745767 2746138 371 "-" "protein_coding" "Rv2446c"
"2508" "Rv2447c" 885902 "folC" "NP_216963.1" "folylpolyglutamate synthase FolC" "NC_000962.3" 2746135 2747598 1463 "-" "protein_coding" "Rv2447c"
"2509" "Rv2448c" 885892 "valS" "NP_216964.1" "valine--tRNA ligase" "NC_000962.3" 2747595 2750225 2630 "-" "protein_coding" "Rv2448c"
"2510" "Rv2449c" 885894 "." "NP_216965.1" "trans-acting enoyl reductase" "NC_000962.3" 2750313 2751572 1259 "-" "protein_coding" "Rv2449c"
"2511" "Rv2450c" 885760 "rpfE" "NP_216966.1" "resuscitation-promoting factor RpfE" "NC_000962.3" 2751662 2752180 518 "-" "protein_coding" "Rv2450c"
"2512" "Rv2451" 886025 "." "NP_216967.1" "hypothetical protein" "NC_000962.3" 2752262 2752660 398 "+" "protein_coding" "Rv2451"
"2513" "Rv2452c" 885858 "." "NP_216968.1" "hypothetical protein" "NC_000962.3" 2752848 2752994 146 "-" "protein_coding" "Rv2452c"
"2514" "Rv2453c" 885904 "mobA" "NP_216969.1" "molybdenum cofactor guanylyltransferase" "NC_000962.3" 2753018 2753623 605 "-" "protein_coding" "Rv2453c"
"2515" "Rv2454c" 887435 "." "NP_216970.1" "2-oxoglutarate oxidoreductase subunit KorB" "NC_000962.3" 2753625 2754746 1121 "-" "protein_coding" "Rv2454c"
"2516" "Rv2455c" 887370 "." "NP_216971.1" "2-oxoglutarate oxidoreductase subunit KorA" "NC_000962.3" 2754743 2756704 1961 "-" "protein_coding" "Rv2455c"
"2517" "Rv2456c" 887340 "." "NP_216972.1" "MFS-type transporter" "NC_000962.3" 2756936 2758192 1256 "-" "protein_coding" "Rv2456c"
"2518" "Rv2457c" 888167 "clpX" "NP_216973.1" "ATP-dependent CLP protease ATP-binding subunit ClpX" "NC_000962.3" 2758208 2759488 1280 "-" "protein_coding" "Rv2457c"
"2519" "Rv2458" 885871 "mmuM" "NP_216974.1" "homocysteine S-methyltransferase MmuM" "NC_000962.3" 2759779 2760687 908 "+" "protein_coding" "Rv2458"
"2520" "Rv2459" 888191 "." "NP_216975.1" "MFS-type transporter" "NC_000962.3" 2760854 2762380 1526 "+" "protein_coding" "Rv2459"
"2521" "Rv2460c" 888174 "clpP2" "NP_216976.1" "ATP-dependent CLP protease proteolytic subunit 2" "NC_000962.3" 2762531 2763175 644 "-" "protein_coding" "Rv2460c"
"2522" "Rv2461c" 888176 "clpP1" "YP_177883.1" "ATP-dependent CLP protease proteolytic subunit 1" "NC_000962.3" 2763172 2763774 602 "-" "protein_coding" "Rv2461c"
"2523" "Rv2462c" 888615 "tig" "NP_216978.1" "trigger factor" "NC_000962.3" 2763891 2765291 1400 "-" "protein_coding" "Rv2462c"
"2524" "Rv2463" 888572 "lipP" "NP_216979.1" "esterase/lipase LipP" "NC_000962.3" 2765655 2766839 1184 "+" "protein_coding" "Rv2463"
"2525" "Rv2464c" 888500 "." "NP_216980.1" "DNA glycosylase" "NC_000962.3" 2766859 2767665 806 "-" "protein_coding" "Rv2464c"
"2526" "Rv2465c" 887225 "rpiB" "YP_177884.1" "ribose-5-phosphate isomerase B" "NC_000962.3" 2767671 2768159 488 "-" "protein_coding" "Rv2465c"
"2527" "Rv2466c" 888214 "." "NP_216982.1" "hypothetical protein" "NC_000962.3" 2768261 2768884 623 "-" "protein_coding" "Rv2466c"
"2528" "Rv2467" 887403 "pepN" "YP_177885.1" "aminopeptidase PepN" "NC_000962.3" 2768986 2771571 2585 "+" "protein_coding" "Rv2467"
"2529" "Rv2468A" 14515866 "." "YP_007411168.1" "hypothetical protein" "NC_000962.3" 2772098 2772331 233 "-" "protein_coding" "Rv2468A"
"2530" "Rv2468c" 887767 "." "NP_216984.1" "hypothetical protein" "NC_000962.3" 2771644 2772147 503 "-" "protein_coding" "Rv2468c"
"2531" "Rv2469c" 888591 "." "NP_216985.1" "hypothetical protein" "NC_000962.3" 2772367 2773035 668 "-" "protein_coding" "Rv2469c"
"2532" "Rv2470" 887743 "glbO" "NP_216986.1" "hemoglobin GlbO" "NC_000962.3" 2773178 2773564 386 "+" "protein_coding" "Rv2470"
"2533" "Rv2471" 887393 "aglA" "NP_216987.1" "alpha-glucosidase AglA" "NC_000962.3" 2773564 2775204 1640 "+" "protein_coding" "Rv2471"
"2534" "Rv2472" 887255 "." "NP_216988.1" "hypothetical protein" "NC_000962.3" 2775272 2775565 293 "+" "protein_coding" "Rv2472"
"2535" "Rv2473" 888163 "." "NP_216989.1" "hypothetical protein" "NC_000962.3" 2775568 2776284 716 "+" "protein_coding" "Rv2473"
"2536" "Rv2474c" 888606 "." "NP_216990.1" "hypothetical protein" "NC_000962.3" 2776316 2776969 653 "-" "protein_coding" "Rv2474c"
"2537" "Rv2475c" 887793 "." "NP_216991.1" "hypothetical protein" "NC_000962.3" 2776975 2777391 416 "-" "protein_coding" "Rv2475c"
"2538" "Rv2476c" 887437 "gdh" "NP_216992.1" "NAD-dependent glutamate dehydrogenase" "NC_000962.3" 2777388 2782262 4874 "-" "protein_coding" "Rv2476c"
"2539" "Rv2477c" 887757 "." "NP_216993.1" "macrolide ABC transporter ATP-binding protein" "NC_000962.3" 2782366 2784042 1676 "-" "protein_coding" "Rv2477c"
"2540" "Rv2478c" 887304 "." "NP_216994.1" "hypothetical protein" "NC_000962.3" 2784123 2784608 485 "-" "protein_coding" "Rv2478c"
"2541" "Rv2481c" 887462 "." "NP_216997.1" "hypothetical protein" "NC_000962.3" 2786575 2786898 323 "-" "protein_coding" "Rv2481c"
"2542" "Rv2482c" 887848 "plsB2" "NP_216998.1" "glycerol-3-phosphate acyltransferase" "NC_000962.3" 2786914 2789283 2369 "-" "protein_coding" "Rv2482c"
"2543" "Rv2483c" 887744 "plsC" "NP_216999.1" "bifunctional L-3-phosphoserine phosphatase/1-acyl-sn-glycerol-3-phosphate acyltransferase" "NC_000962.3" 2789280 2791022 1742 "-" "protein_coding" "Rv2483c"
"2544" "Rv2484c" 888623 "." "NP_217000.1" "diacyglycerol O-acyltransferase" "NC_000962.3" 2791019 2792494 1475 "-" "protein_coding" "Rv2484c"
"2545" "Rv2485c" 887876 "lipQ" "NP_217001.1" "carboxylesterase LipQ" "NC_000962.3" 2792723 2793988 1265 "-" "protein_coding" "Rv2485c"
"2546" "Rv2486" 887894 "echA14" "NP_217002.1" "enoyl-CoA hydratase EchA14" "NC_000962.3" 2794350 2795120 770 "+" "protein_coding" "Rv2486"
"2547" "Rv2487c" 887909 "PE_PGRS42" "YP_177886.1" "PE-PGRS family protein PE_PGRS42" "NC_000962.3" 2795301 2797385 2084 "-" "protein_coding" "Rv2487c"
"2548" "Rv2488c" 887997 "." "NP_217004.1" "LuxR family transcriptional regulator" "NC_000962.3" 2797467 2800880 3413 "-" "protein_coding" "Rv2488c"
"2549" "Rv2489c" 888937 "." "NP_217005.1" "hypothetical protein" "NC_000962.3" 2800846 2801145 299 "-" "protein_coding" "Rv2489c"
"2551" "Rv2490a" 19394681 "." "YP_009030040.1" "hypothetical protein" "NC_000962.3" 2806323 2806529 206 "-" "protein_coding" "Rv2490a"
"2550" "Rv2490c" 887941 "PE_PGRS43" "YP_177887.1" "PE-PGRS family protein PE_PGRS43" "NC_000962.3" 2801254 2806236 4982 "-" "protein_coding" "Rv2490c"
"2552" "Rv2491" 887780 "." "NP_217007.1" "hypothetical protein" "NC_000962.3" 2806665 2807288 623 "+" "protein_coding" "Rv2491"
"2553" "Rv2492" 887436 "." "NP_217008.1" "hypothetical protein" "NC_000962.3" 2807278 2808030 752 "+" "protein_coding" "Rv2492"
"2554" "Rv2493" 887480 "vapB38" "NP_217009.1" "antitoxin VapB38" "NC_000962.3" 2808083 2808304 221 "+" "protein_coding" "Rv2493"
"2555" "Rv2494" 887700 "vapC38" "NP_217010.1" "ribonuclease VapC38" "NC_000962.3" 2808310 2808735 425 "+" "protein_coding" "Rv2494"
"2556" "Rv2495c" 888237 "bkdC" "NP_217011.1" "branched-chain keto acid dehydrogenase E2 component" "NC_000962.3" 2808758 2809939 1181 "-" "protein_coding" "Rv2495c"
"2557" "Rv2496c" 888571 "bkdB" "NP_217012.1" "3-methyl-2-oxobutanoate dehydrogenase subunit beta" "NC_000962.3" 2809936 2810982 1046 "-" "protein_coding" "Rv2496c"
"2558" "Rv2497c" 888583 "bkdA" "NP_217013.1" "3-methyl-2-oxobutanoate dehydrogenase subunit alpha" "NC_000962.3" 2810993 2812096 1103 "-" "protein_coding" "Rv2497c"
"2559" "Rv2498c" 887466 "citE" "NP_217014.1" "citrate (pro-3S)-lyase subunit beta" "NC_000962.3" 2812355 2813176 821 "-" "protein_coding" "Rv2498c"
"2560" "Rv2499c" 888584 "." "NP_217015.1" "oxidase regulatory-like protein" "NC_000962.3" 2813173 2813730 557 "-" "protein_coding" "Rv2499c"
"2561" "Rv2500c" 888541 "fadE19" "NP_217016.1" "acyl-CoA dehydrogenase FadE19" "NC_000962.3" 2813727 2814911 1184 "-" "protein_coding" "Rv2500c"
"2562" "Rv2501c" 887309 "accA1" "NP_217017.1" "acetyl/propionyl-CoA carboxylase subuit alpha" "NC_000962.3" 2814916 2816880 1964 "-" "protein_coding" "Rv2501c"
"2563" "Rv2502c" 887168 "accD1" "NP_217018.1" "acetyl-/propionyl-CoA carboxylase subunit beta" "NC_000962.3" 2816885 2818474 1589 "-" "protein_coding" "Rv2502c"
"2564" "Rv2503c" 888502 "scoB" "NP_217019.1" "succinyl-CoA:3-ketoacid-CoA transferase subunit B" "NC_000962.3" 2818471 2819127 656 "-" "protein_coding" "Rv2503c"
"2565" "Rv2504c" 888503 "scoA" "NP_217020.1" "succinyl-CoA:3-ketoacid-CoA transferase subunit A" "NC_000962.3" 2819124 2819870 746 "-" "protein_coding" "Rv2504c"
"2566" "Rv2505c" 887774 "fadD35" "NP_217021.1" "fatty-acid--CoA ligase FadD35" "NC_000962.3" 2819953 2821596 1643 "-" "protein_coding" "Rv2505c"
"2567" "Rv2506" 888516 "." "NP_217022.1" "TetR family transcriptional regulator" "NC_000962.3" 2821712 2822359 647 "+" "protein_coding" "Rv2506"
"2568" "Rv2507" 888244 "." "NP_217023.1" "hypothetical protein" "NC_000962.3" 2822438 2823259 821 "+" "protein_coding" "Rv2507"
"2569" "Rv2508c" 888527 "." "NP_217024.1" "integral membrane protein" "NC_000962.3" 2823256 2824593 1337 "-" "protein_coding" "Rv2508c"
"2570" "Rv2509" 888526 "." "NP_217025.1" "short-chain type dehydrogenase/reductase" "NC_000962.3" 2824678 2825484 806 "+" "protein_coding" "Rv2509"
"2571" "Rv2510c" 888613 "." "NP_217026.1" "hypothetical protein" "NC_000962.3" 2825488 2827089 1601 "-" "protein_coding" "Rv2510c"
"2572" "Rv2511" 888633 "orn" "NP_217027.1" "oligoribonuclease" "NC_000962.3" 2827157 2827804 647 "+" "protein_coding" "Rv2511"
"2574" "Rv2512a" 19394682 "." "YP_009030041.1" "hypothetical protein" "NC_000962.3" 2829954 2830139 185 "+" "protein_coding" "Rv2512a"
"2573" "Rv2512c" 888515 "." "NP_217028.1" "insertion sequence element IS1081 transposase" "NC_000962.3" 2828556 2829803 1247 "-" "protein_coding" "Rv2512c"
"2575" "Rv2513" 887808 "." "NP_217029.1" "hypothetical protein" "NC_000962.3" 2830161 2830583 422 "+" "protein_coding" "Rv2513"
"2576" "Rv2514c" 887878 "." "NP_217030.1" "hypothetical protein" "NC_000962.3" 2830877 2831338 461 "-" "protein_coding" "Rv2514c"
"2577" "Rv2515c" 887812 "." "NP_217031.1" "hypothetical protein" "NC_000962.3" 2831344 2832591 1247 "-" "protein_coding" "Rv2515c"
"2578" "Rv2516c" 887186 "." "NP_217032.2" "hypothetical protein" "NC_000962.3" 2832710 2833513 803 "-" "protein_coding" "Rv2516c"
"2579" "Rv2517c" 887673 "." "NP_217033.1" "hypothetical protein" "NC_000962.3" 2833510 2833761 251 "-" "protein_coding" "Rv2517c"
"2580" "Rv2518c" 888160 "ldtB" "NP_217034.1" "L,D-transpeptidase LdtB" "NC_000962.3" 2834109 2835335 1226 "-" "protein_coding" "Rv2518c"
"2581" "Rv2519" 888172 "PE26" "YP_177888.1" "PE family protein PE26" "NC_000962.3" 2835785 2837263 1478 "+" "protein_coding" "Rv2519"
"2582" "Rv2520c" 887804 "." "NP_217036.1" "membrane protein" "NC_000962.3" 2837388 2837615 227 "-" "protein_coding" "Rv2520c"
"2583" "Rv2521" 887694 "bcp" "NP_217037.1" "peroxiredoxin" "NC_000962.3" 2837684 2838157 473 "+" "protein_coding" "Rv2521"
"2584" "Rv2522c" 887375 "." "NP_217038.1" "hypothetical protein" "NC_000962.3" 2838129 2839541 1412 "-" "protein_coding" "Rv2522c"
"2585" "Rv2523c" 888626 "acpS" "NP_217039.1" "holo-ACP synthase" "NC_000962.3" 2839538 2839930 392 "-" "protein_coding" "Rv2523c"
"2586" "Rv2524c" 887704 "fas" "NP_217040.1" "fatty acid synthase" "NC_000962.3" 2840123 2849332 9209 "-" "protein_coding" "Rv2524c"
"2587" "Rv2525c" 888612 "." "NP_217041.1" "hypothetical protein" "NC_000962.3" 2849852 2850574 722 "-" "protein_coding" "Rv2525c"
"2588" "Rv2526" 888254 "vapB17" "NP_217042.1" "antitoxin VapB17" "NC_000962.3" 2851091 2851318 227 "+" "protein_coding" "Rv2526"
"2589" "Rv2527" 887266 "vapC17" "NP_217043.1" "ribonuclease VapC17" "NC_000962.3" 2851315 2851716 401 "+" "protein_coding" "Rv2527"
"2590" "Rv2528c" 887150 "mrr" "NP_217044.1" "restriction system protein" "NC_000962.3" 2851751 2852671 920 "-" "protein_coding" "Rv2528c"
"2591" "Rv2529" 887153 "." "NP_217045.1" "hypothetical protein" "NC_000962.3" 2852875 2854266 1391 "+" "protein_coding" "Rv2529"
"2593" "Rv2530A" 3205085 "vapB39" "YP_177672.1" "antitoxin VapB39" "NC_000962.3" 2854683 2854907 224 "-" "protein_coding" "Rv2530A"
"2592" "Rv2530c" 887192 "vapC39" "NP_217046.1" "ribonuclease VapC39" "NC_000962.3" 2854267 2854686 419 "-" "protein_coding" "Rv2530c"
"2594" "Rv2531c" 887216 "." "YP_177889.1" "amino acid decarboxylase" "NC_000962.3" 2854938 2857781 2843 "-" "protein_coding" "Rv2531c"
"2595" "Rv2532c" 887152 "." "NP_217048.1" "hypothetical protein" "NC_000962.3" 2857853 2858254 401 "-" "protein_coding" "Rv2532c"
"2596" "Rv2533c" 887359 "nusB" "NP_217049.1" "N utilization substance protein B" "NC_000962.3" 2858254 2858724 470 "-" "protein_coding" "Rv2533c"
"2597" "Rv2534c" 888437 "efp" "NP_217050.1" "elongation factor P" "NC_000962.3" 2858727 2859290 563 "-" "protein_coding" "Rv2534c"
"2598" "Rv2535c" 888409 "pepQ" "NP_217051.1" "cytoplasmic peptidase PepQ" "NC_000962.3" 2859300 2860418 1118 "-" "protein_coding" "Rv2535c"
"2599" "Rv2536" 888386 "." "NP_217052.1" "transmembrane protein" "NC_000962.3" 2860452 2861144 692 "+" "protein_coding" "Rv2536"
"2600" "Rv2537c" 888397 "aroD" "NP_217053.1" "3-dehydroquinate dehydratase" "NC_000962.3" 2861148 2861591 443 "-" "protein_coding" "Rv2537c"
"2601" "Rv2538c" 888392 "aroB" "NP_217054.1" "3-dehydroquinate synthase" "NC_000962.3" 2861588 2862676 1088 "-" "protein_coding" "Rv2538c"
"2602" "Rv2539c" 887434 "aroK" "NP_217055.1" "shikimate kinase" "NC_000962.3" 2862673 2863203 530 "-" "protein_coding" "Rv2539c"
"2603" "Rv2540c" 887379 "aroF" "NP_217056.1" "chorismate synthase" "NC_000962.3" 2863207 2864412 1205 "-" "protein_coding" "Rv2540c"
"2604" "Rv2541" 887831 "." "NP_217057.1" "hypothetical protein" "NC_000962.3" 2864427 2864834 407 "+" "protein_coding" "Rv2541"
"2605" "Rv2542" 887261 "." "NP_217058.1" "hypothetical protein" "NC_000962.3" 2865130 2866341 1211 "+" "protein_coding" "Rv2542"
"2606" "Rv2543" 888052 "lppA" "NP_217059.1" "lipoprotein LppA" "NC_000962.3" 2866468 2867127 659 "+" "protein_coding" "Rv2543"
"2607" "Rv2544" 888054 "lppB" "NP_217060.1" "lipoprotein LppB" "NC_000962.3" 2867124 2867786 662 "+" "protein_coding" "Rv2544"
"2608" "Rv2545" 888038 "vapB18" "NP_217061.1" "antitoxin VapB18" "NC_000962.3" 2867783 2868061 278 "+" "protein_coding" "Rv2545"
"2609" "Rv2546" 887365 "vapC18" "NP_217062.1" "ribonuclease VapC18" "NC_000962.3" 2868154 2868567 413 "+" "protein_coding" "Rv2546"
"2610" "Rv2547" 888452 "vapB19" "NP_217063.1" "antitoxin VapB19" "NC_000962.3" 2868606 2868863 257 "+" "protein_coding" "Rv2547"
"2611" "Rv2548" 888412 "vapC19" "NP_217064.1" "ribonuclease VapC19" "NC_000962.3" 2868860 2869237 377 "+" "protein_coding" "Rv2548"
"2612" "Rv2548A" 11117811 "." "YP_004837057.1" "hypothetical protein" "NC_000962.3" 2869253 2869627 374 "-" "protein_coding" "Rv2548A"
"2613" "Rv2549c" 887193 "vapC20" "NP_217065.1" "ribonuclease VapC20" "NC_000962.3" 2869727 2870122 395 "-" "protein_coding" "Rv2549c"
"2614" "Rv2550c" 887353 "vapB20" "NP_217066.1" "antitoxin VapB20" "NC_000962.3" 2870119 2870364 245 "-" "protein_coding" "Rv2550c"
"2615" "Rv2551c" 887855 "." "NP_217067.1" "hypothetical protein" "NC_000962.3" 2870775 2871194 419 "-" "protein_coding" "Rv2551c"
"2616" "Rv2552c" 887330 "aroE" "NP_217068.1" "shikimate 5-dehydrogenase" "NC_000962.3" 2871206 2872015 809 "-" "protein_coding" "Rv2552c"
"2617" "Rv2553c" 888228 "." "NP_217069.1" "membrane protein" "NC_000962.3" 2872012 2873265 1253 "-" "protein_coding" "Rv2553c"
"2618" "Rv2554c" 887490 "." "NP_217070.1" "Holliday junction resolvase" "NC_000962.3" 2873258 2873770 512 "-" "protein_coding" "Rv2554c"
"2619" "Rv2555c" 887726 "alaS" "NP_217071.1" "alanine--tRNA ligase" "NC_000962.3" 2873771 2876485 2714 "-" "protein_coding" "Rv2555c"
"2620" "Rv2556c" 887451 "." "NP_217072.1" "hypothetical protein" "NC_000962.3" 2876576 2876965 389 "-" "protein_coding" "Rv2556c"
"2621" "Rv2557" 887865 "." "NP_217073.1" "hypothetical protein" "NC_000962.3" 2877072 2877746 674 "+" "protein_coding" "Rv2557"
"2622" "Rv2558" 887298 "." "NP_217074.1" "hypothetical protein" "NC_000962.3" 2877831 2878541 710 "+" "protein_coding" "Rv2558"
"2623" "Rv2559c" 887368 "." "NP_217075.1" "hypothetical protein" "NC_000962.3" 2878571 2879929 1358 "-" "protein_coding" "Rv2559c"
"2624" "Rv2560" 887363 "." "NP_217076.1" "hypothetical protein" "NC_000962.3" 2880075 2881052 977 "+" "protein_coding" "Rv2560"
"2625" "Rv2563" 887516 "." "NP_217079.1" "glutamine ABC transporter permease" "NC_000962.3" 2882290 2883339 1049 "+" "protein_coding" "Rv2563"
"2626" "Rv2564" 887898 "glnQ" "NP_217080.1" "glutamine ABC transporter ATP-binding protein" "NC_000962.3" 2883342 2884334 992 "+" "protein_coding" "Rv2564"
"2627" "Rv2565" 887288 "." "NP_217081.1" "NTE family protein" "NC_000962.3" 2884611 2886362 1751 "+" "protein_coding" "Rv2565"
"2628" "Rv2566" 887737 "." "NP_217082.1" "hypothetical protein" "NC_000962.3" 2886373 2889795 3422 "+" "protein_coding" "Rv2566"
"2629" "Rv2567" 888578 "." "NP_217083.1" "hypothetical protein" "NC_000962.3" 2889795 2892449 2654 "+" "protein_coding" "Rv2567"
"2630" "Rv2568c" 887249 "." "NP_217084.1" "hypothetical protein" "NC_000962.3" 2892446 2893471 1025 "-" "protein_coding" "Rv2568c"
"2631" "Rv2569c" 887783 "." "NP_217085.1" "hypothetical protein" "NC_000962.3" 2893464 2894408 944 "-" "protein_coding" "Rv2569c"
"2632" "Rv2570" 887377 "." "NP_217086.1" "hypothetical protein" "NC_000962.3" 2894512 2894901 389 "+" "protein_coding" "Rv2570"
"2633" "Rv2571c" 887382 "." "NP_217087.1" "transmembrane protein" "NC_000962.3" 2894893 2895960 1067 "-" "protein_coding" "Rv2571c"
"2634" "Rv2572c" 888532 "aspS" "NP_217088.1" "aspartate--tRNA ligase" "NC_000962.3" 2896013 2897803 1790 "-" "protein_coding" "Rv2572c"
"2635" "Rv2573" 888188 "." "NP_217089.3" "2-dehydropantoate 2-reductase" "NC_000962.3" 2898043 2898783 740 "+" "protein_coding" "Rv2573"
"2636" "Rv2574" 887232 "." "NP_217090.1" "hypothetical protein" "NC_000962.3" 2898806 2899309 503 "+" "protein_coding" "Rv2574"
"2637" "Rv2575" 888178 "." "NP_217091.1" "membrane protein" "NC_000962.3" 2899339 2900220 881 "+" "protein_coding" "Rv2575"
"2638" "Rv2576c" 887251 "." "NP_217092.1" "membrane protein" "NC_000962.3" 2900226 2900690 464 "-" "protein_coding" "Rv2576c"
"2639" "Rv2577" 888207 "." "NP_217093.1" "hypothetical protein" "NC_000962.3" 2900918 2902507 1589 "+" "protein_coding" "Rv2577"
"2640" "Rv2578c" 887427 "." "NP_217094.1" "hypothetical protein" "NC_000962.3" 2902509 2903531 1022 "-" "protein_coding" "Rv2578c"
"2641" "Rv2579" 888599 "dhaA" "YP_177890.1" "haloalkane dehalogenase" "NC_000962.3" 2903639 2904541 902 "+" "protein_coding" "Rv2579"
"2642" "Rv2580c" 887479 "hisS" "NP_217096.1" "histidine--tRNA ligase" "NC_000962.3" 2904821 2906092 1271 "-" "protein_coding" "Rv2580c"
"2643" "Rv2581c" 888217 "." "NP_217097.1" "glyoxalase II" "NC_000962.3" 2906089 2906763 674 "-" "protein_coding" "Rv2581c"
"2644" "Rv2582" 887691 "ppiB" "NP_217098.1" "peptidyl-prolyl cis-trans isomerase B" "NC_000962.3" 2906814 2907740 926 "+" "protein_coding" "Rv2582"
"2645" "Rv2583c" 887888 "relA" "NP_217099.1" "bifunctional (p)ppGpp synthase/hydrolase RelA" "NC_000962.3" 2907826 2910198 2372 "-" "protein_coding" "Rv2583c"
"2646" "Rv2584c" 888579 "apt" "NP_217100.1" "adenine phosphoribosyltransferase" "NC_000962.3" 2910229 2910900 671 "-" "protein_coding" "Rv2584c"
"2647" "Rv2585c" 887701 "." "NP_217101.1" "lipoprotein" "NC_000962.3" 2911004 2912677 1673 "-" "protein_coding" "Rv2585c"
"2648" "Rv2586c" 887229 "secF" "NP_217102.1" "protein translocase subunit SecF" "NC_000962.3" 2912683 2914011 1328 "-" "protein_coding" "Rv2586c"
"2649" "Rv2587c" 888192 "secD" "NP_217103.1" "protein translocase subunit SecD" "NC_000962.3" 2914015 2915736 1721 "-" "protein_coding" "Rv2587c"
"2650" "Rv2588c" 887346 "yajC" "NP_217104.1" "membrane protein secretion factor YajC" "NC_000962.3" 2915846 2916193 347 "-" "protein_coding" "Rv2588c"
"2651" "Rv2589" 887915 "gabT" "NP_217105.1" "4-aminobutyrate aminotransferase" "NC_000962.3" 2916360 2917709 1349 "+" "protein_coding" "Rv2589"
"2652" "Rv2590" 888574 "fadD9" "NP_217106.1" "fatty-acid--CoA ligase FadD9" "NC_000962.3" 2917871 2921377 3506 "+" "protein_coding" "Rv2590"
"2653" "Rv2591" 887992 "PE_PGRS44" "YP_177891.1" "PE-PGRS family protein PE_PGRS44" "NC_000962.3" 2921551 2923182 1631 "+" "protein_coding" "Rv2591"
"2654" "Rv2592c" 888173 "ruvB" "NP_217108.1" "Holliday junction ATP-dependent DNA helicase RuvB" "NC_000962.3" 2923199 2924233 1034 "-" "protein_coding" "Rv2592c"
"2655" "Rv2593c" 887688 "ruvA" "NP_217109.1" "Holliday junction ATP-dependent DNA helicase RuvA" "NC_000962.3" 2924230 2924820 590 "-" "protein_coding" "Rv2593c"
"2656" "Rv2594c" 887418 "ruvC" "NP_217110.1" "crossover junction endodeoxyribonuclease RuvC" "NC_000962.3" 2924817 2925383 566 "-" "protein_coding" "Rv2594c"
"2657" "Rv2595" 887682 "vapB40" "NP_217111.1" "antitoxin VapB40" "NC_000962.3" 2925492 2925737 245 "+" "protein_coding" "Rv2595"
"2658" "Rv2596" 888218 "vapC40" "NP_217112.1" "ribonuclease VapC40" "NC_000962.3" 2925734 2926138 404 "+" "protein_coding" "Rv2596"
